id_tweet,created_at,lang,like_count,quote_count,reply_count,retweet_count,text
1549526904457158656,2022-07-19 22:49:37+00:00,es,2543,29,145,1510,"Ministro de Vivienda usa oficina pública y plataforma mediática de su cargo, para hacer propaganda política. En vez de hacerse cargo de los enormes problemas de vivienda, estan desatados haciendo campaña! @yotefiscalizo_ https://t.co/ImTLHLXnCB"
1549525271023427591,2022-07-19 22:43:08+00:00,es,8277,78,653,3719,El Gobierno está engañando a los chilenos: van a subir en $100 pesos la tarifa del transporte público pero se guardan el anuncio oficial para después del plebiscito. Dejen de mentir!
1549459250312712192,2022-07-19 18:20:47+00:00,es,0,0,0,922,RT @BarchiesiDip: Al #PresidenteBoric se le olvido que es el Jefe de Estado y ahora parece más el jefe de campaña del Apruebo. Junto a los…
1549430265755451393,2022-07-19 16:25:37+00:00,es,22315,612,2293,9463,"Gobierno anuncia que subirá 100 pesos la tarifa del transporte público. Por 30 pesos, la izquierda incitó y avaló la rebelión en las calles y la quema de decenas de estaciones de metro."
1549250163541127168,2022-07-19 04:29:57+00:00,es,0,0,0,487,RT @yoteacuso_: Porque viví mi peor pesadilla camino a mi casa  #YoTeAcuso https://t.co/1odrCo7jUA
1549219189784621056,2022-07-19 02:26:52+00:00,es,8076,69,858,3440,"Mientras el Presidente @gabrielboric está en campaña, mujer encuentra a su hermano asesinado dentro de un tambor en Quilpué. La política por sobre las urgencias."
1549201807255035907,2022-07-19 01:17:48+00:00,es,0,0,0,702,RT @DipCristobal: El Estado tiene sólo dos alternativas frente a los crímenes que se viven en el sur: enfrentar el terror o hacerse cargo d…
1549082409496297474,2022-07-18 17:23:21+00:00,es,1150,2,44,565,"La burocracia y la mala gestión del Estado, de todos los gobiernos, que tiene a los niños en containers y que triplica el gasto fiscal. ¿Quién asume la responsabilidad? ¿Quién paga el daño? https://t.co/q1d5tqVIDe"
1549065517964689411,2022-07-18 16:16:14+00:00,es,5355,32,296,2165,"Como siempre, el gobierno llega tarde y mal a todo. El estado de excepción en Los Ríos es indispensable, pero la desconexión de las autoridades impide actuar con celeridad. Ojalá el Presidente deje de hacer campaña y empiece a gobernar."
1549026004441505792,2022-07-18 13:39:13+00:00,es,2573,15,139,908,"Me parece bien que se revirtiera la medida. El tema es que las autoridades siguen improvisando en materias de seguridad
#ChileMereceMas https://t.co/SxMkAtzIW9"
1548887691357409281,2022-07-18 04:29:37+00:00,es,0,0,0,662,"RT @ruth_uas: En #Mafil nuevamente un atentado que deja al menos 20 equipos quemados, trabajadores fueron amenazados con armas de fuego.
El…"
1548476490559279107,2022-07-17 01:15:39+00:00,es,5382,12,92,857,¡Que alto volaron los Cóndores! ¡Chile al mundial! Felicitaciones @chilerugby !!! https://t.co/SVID8qBzMd
1548393022806601730,2022-07-16 19:43:59+00:00,es,3560,100,245,2871,"Una verdadera zona de guerra en Alto Bio Bio. En medio de la lluvia y la nieve, Carabineros son atacados con balas y fuego por grupos terroristas. No es Ucrania, es Chile. https://t.co/OymKfQLoeU"
1548367960745512960,2022-07-16 18:04:23+00:00,es,0,0,0,152,"RT @JoseMezaPereira: El día de ayer nos reunimos con la Dirección del Hospital San José, Independencia para tener comunicación directa, est…"
1548126792728293376,2022-07-16 02:06:04+00:00,es,7612,99,462,3690,Dos jovenes de 16 y 15 años fueron asaltados y apuñalados en Calama. Uno murió y el otro está en coma. La delincuencia está desatada en todo el país y los chilenos estan muriendo a causa de ella.
1548057357531222018,2022-07-15 21:30:10+00:00,es,0,0,0,662,"RT @BenjaminMorenob: Tenemos a un gobierno preocupado de hacer campaña, mientras miles de chilenos están postergados esperando que se resue…"
1548036818754408451,2022-07-15 20:08:33+00:00,es,1904,39,159,1259,El Presidente Boric y sus Ministros están en campaña y los delincuentes lo saben. En Chile reina la impunidad y el Gobierno eligió abandonar sus funciones. https://t.co/NZMNN8bzhU
1548034799733862401,2022-07-15 20:00:32+00:00,es,7160,50,273,3016,"El Presidente Boric no está gobernando, está haciendo campaña. Mientras tanto, millones de chilenos sufren con la economía y la inseguridad."
1548025921730293763,2022-07-15 19:25:15+00:00,es,2439,30,114,1197,"El Ministro Giorgio Jackson es el creativo detrás de idea de proponer una nueva convención si fracasa el apruebo. En vez de dedicarse a complejas operaciones políticas, uno espera que el Presidente y sus Ministros gobernaran y se hicieran cargo del desastre que tienen en el pais"
1548020929992634368,2022-07-15 19:05:25+00:00,es,0,0,0,1105,"RT @BarchiesiDip: Impresentable las declaraciones del #PresidenteBoric. El proceso constituyente costó millones de pesos, y como resultado,…"
1548010033979355136,2022-07-15 18:22:07+00:00,es,2291,47,113,1852,10 millones de pesos para arreglar el error del Ministerio del Interior que no sirvió para nada. El Ministerio de Izkia Siches se manda embarrada tras embarrada y le cuesta millones de pesos a todos los chilenos. https://t.co/LujoaCWsfc
1547995400585457665,2022-07-15 17:23:58+00:00,es,5937,78,458,2533,"Chile necesita un Presidente de verdad, resolviendo los problemas urgentes de las personas. Gabriel Boric se convirtió en Jefe de Campaña y analista político, y está 100% dedicado a eso. Abandonó sus deberes y a los chilenos que necesitan al gobierno."
1547985563428331520,2022-07-15 16:44:53+00:00,es,11025,238,1349,4216,El Presidente esta mintiendo en vivo por Chilevision. Dice que si gana el Rechazo hay que elegir una nueva Convencion y eso es mentira
1547978630373855232,2022-07-15 16:17:20+00:00,es,4790,46,254,2434,"A pesar del fallo de la Corte Apelaciones, el Presidente Boric afirma que Eduardo Frei Montalva fue asesinado, desconociendo la resolución del Poder Judicial. Por eso quieren cambiar la Constitución, para manipular el sistema de justicia a su antojo."
1547958827764461568,2022-07-15 14:58:38+00:00,es,1882,25,170,1088,"El Ministerio de Hacienda difundiendo cuentas anónimas de internet que cobardemente atacan a personas, instituciones y posiciones políticas legítimas. https://t.co/BOTC8sKihu"
